No,Date,Time,Inlet TSS (mg/L),Inlet pH,Outlet TSS (mg/L),Outlet pH,Inlet Disch (m3/s),Dosis CL-80 (ppm),Timestamp,Kolom T1,Kolom T2,Kolom T3,Efisiensi_TSS,Delta_pH,Beban_TSS
3227,2025-12-25,07:00:00,453.0,7.66,155.0,7.69,1.631,1.7031132910961235,2025-12-25 07:00:00,1.6311085013375088,0.6385696040868454,0.6385696040868454,65.78366445916114,0.03000000000000025,738.843
3228,2025-12-25,08:00:00,459.0,7.6,153.0,7.54,1.631,1.7031132910961235,2025-12-25 08:00:00,1.7031132910961235,1.6311085013375088,0.6385696040868454,66.66666666666666,-0.05999999999999961,748.629
3229,2025-12-25,09:00:00,431.0,7.58,148.0,7.57,1.631,1.7031132910961235,2025-12-25 09:00:00,1.7031132910961235,1.7031132910961235,1.6311085013375088,65.66125290023201,-0.009999999999999787,702.961
3230,2025-12-25,10:00:00,425.0,7.67,146.0,7.55,1.631,1.7031132910961235,2025-12-25 10:00:00,1.7031132910961235,1.7031132910961235,1.7031132910961235,65.64705882352942,-0.1200000000000001,693.175
3231,2025-12-25,11:00:00,384.0,7.61,149.0,7.89,1.595,1.741553465691397,2025-12-25 11:00:00,1.7031132910961235,1.7031132910961235,1.7031132910961235,61.197916666666664,0.27999999999999936,612.48
3232,2025-12-25,12:00:00,325.0,8.33,153.0,8.2,1.595,0.6966213862765588,2025-12-25 12:00:00,1.741553465691397,1.7031132910961235,1.7031132910961235,52.92307692307693,-0.13000000000000078,518.375
3233,2025-12-25,13:00:00,337.0,8.29,150.0,8.16,1.56,0.7122507122507121,2025-12-25 13:00:00,0.6966213862765588,1.741553465691397,1.7031132910961235,55.48961424332344,-0.129999999999999,525.72
3234,2025-12-25,14:00:00,321.0,8.17,146.0,8.11,1.56,0.7122507122507121,2025-12-25 14:00:00,0.7122507122507121,0.6966213862765588,1.741553465691397,54.51713395638629,-0.0600000000000005,500.76
3235,2025-12-25,15:00:00,317.0,8.2,149.0,8.07,1.56,0.7122507122507121,2025-12-25 15:00:00,0.7122507122507121,0.7122507122507121,0.6966213862765588,52.99684542586751,-0.129999999999999,494.52000000000004
3236,2025-12-25,16:00:00,311.0,8.26,153.0,8.01,1.56,0.7122507122507121,2025-12-25 16:00:00,0.7122507122507121,0.7122507122507121,0.7122507122507121,50.80385852090033,-0.25,485.16
3237,2025-12-25,17:00:00,318.0,8.45,164.0,8.28,1.56,0.7122507122507121,2025-12-25 17:00:00,0.7122507122507121,0.7122507122507121,0.7122507122507121,48.42767295597484,-0.16999999999999993,496.08000000000004
3238,2025-12-25,18:00:00,320.0,8.64,162.0,8.51,1.56,0.7122507122507121,2025-12-25 18:00:00,0.7122507122507121,0.7122507122507121,0.7122507122507121,49.375,-0.13000000000000078,499.20000000000005
